comment,type
مية بر اعطي إلبخرتك اتنة ناتنة ماتجي حتشي متشبهي إلحت شئ وبالنسبة لكريم الغربي سيدك نعطيه ه رجل بأتم معنا ماهوش هامل سلهوبة يال جاي مل هنتيتي تتكل مي بلقا,normal
جزائري نحب تونس معناها جزائري معناها خاوة خاوة معناها جيران معناها معناها معناها ربي يهدينا شاء معناها,normal
ياجزائريين قاطعوا تونس تربيح اليهود,aggressive
جزائرية أبوها تقول بابا حواني,aggressive
نيك امك,aggressive
عار خنار وماكش متربية قبيحة النساء مية يعطيك,aggressive
ماسيخ خيت,aggressive
لطفي ربي يحفضك وينور طريقك الجزاءر,normal
تانحويوهم بلمرض تخبى الحاسوب نيكي موك القحبة سول جداتك القحبة المرض,aggressive
الزبل,aggressive
تفاهة,normal
التوانسة ولاد بورقيبة وخواتاتهم القحاب,aggressive
خسارة تونس تعيش قحبه,aggressive
ضاهرة وجهها صوتها قحبة مالبريمة عمرهم يكونو نضاف,aggressive
تحمي غالب والله شمس عيب خويا لطفي تقول هكدك كلام يقلوه الرجال والله نحترمك قللت احترام شمس,normal
راجل وميبون,aggressive
يعرض الباجي قايد السبسي طبيب الأعصاب الأطباء الاختصاصات ستجدون فاقد لجميع الصلوحيات بالتالي لابد الحجر ممتلكاته إحالته فورا مستشفى المجانين عزله منصبه,normal
تونس قحبة نحي تصويرة الطفلة وعبر بوجهك خرى ربك مرة مرة نحي الطفلة وحط ولاقبتك وسب,aggressive
ممكن اشتراك القناة إخواني,normal
كامل الضجة اضن المستحيل يفطر ملحدين ديانات تانية خالدون دينكم ولي دين الجدال هدا يجب الاهتمام بالأخلاق والتربية أحسن,aggressive
تحية لقحاب تونس,aggressive
خلك الاحترام والضعافه اكون جبان ليهودي,aggressive
تاكل اااخويا تبالك محترمة خويا مدي تونسية متربية مجمعناش,normal
لووول,normal
العبو العبو لعنة ليسو والله وفعلها امامي هكدا لقتلته انتهاك رمضان,aggressive
تسلم يالغالي يحفظك شاء,normal
طيران بشير براا قعادت وموش عجبك,normal
ملخر مومو يعطي عندوش فلوس,normal
الراجل يصرف يدي بصح درك أخت زوجة تصرف تعاون تاخد الميراث تاخد الثلث تصرفش تخبيه الرجل مسؤول الدار زوج اب ابن يصرف الميراث داه لمراء تدي تصرف,normal
قولي لاخر قحبة بتصريح دولي وريحي راسنا تحيه لشعب تونسي شريف جزائريه والله تونس ضاعت دين خوف رحم ربي,aggressive
تباركلهم,aggressive
الأعباد شانوا,normal
يهود جزائري,normal
خامجةربي ينتقم اعلام العار,aggressive
,aggressive
تونس منظر شوف بالي هاكي هاذا جاهل كريم الغربي ينقد حده مثقفه مره,aggressive
الجزائر امراة تعيفففففففف روحي دري حجاب وجه بحس الردائة بأم,aggressive
أعداء الإسلام الکفرة تقهر بمستوى السب الشتم الومك فانت تتبع دين الارهاب النكاح نطفة وسخة,aggressive
غلبااا مريم فضحت روحك ياااا تييييت رابي هااااامله فماا ربي نسدق,aggressive
احترماتي ولافتخار والاعتزازات لاخت مايا مثقفة دكية والشخص مستواه ضعيفة متعصب لاخت هداخلاتها القلب وملمومة سياسيا وثقافيا المستوات اخوك المغرب اتابع حوراتك كره واحب يعاونك لاعداء والحساد,normal
شعب جاهل يفهم ويعرف دينه,aggressive
محمد رسول بالله ولت حسبنا الوكيل,normal
ويرحم والدين ضربها نحبش العنف تستاهل كفوف العاقبه لخري,normal
قنبلة شواذ لتقدم لزم ندعم شذوذ ياحيوانات بهايم,aggressive
بيع تليفونك صلح مراياتك ويزي مالتسول عمرك,normal
يهودي مخربي احذرو,aggressive
يذلك ياكلب القانون القرآن الكريم كلب,aggressive
بالل اهی إبن الجواری الس بایا ک تحب ترکبلها إل ی بوک میبون یلعبها مل تکرکیره,aggressive
اوموا الكوليرا نتا ختك يماك هوما الكوليرا تبا التوانسة الجيعانين اشبعو ماكلة ممبعد احكو الورث,aggressive
ههههه لبنات يدافعو شمس,normal
غريبة ننتموا الإفريقية معناتها أصلنا سمر السفير تنجم عنصرية أساس أحنا البيض متقتلش منا,normal
المستوي شمس افضل,normal
نشهد الاجراء تقريبا تقوم زنديق إمارات تونس,aggressive
كفرة,aggressive
مخنث لطيف,aggressive
نزل الستار أعينكم والحمد لله الآن تعلمون يحكمكم وبالآحرى يستعبدكم قوموا وأعيدوا رب العز خير للن اس,normal
تعايش اليهود وماناش اصحاب,aggressive
ربي يقدر الخير تونس راهي تناكت راحت للواد,aggressive
فيصل طحان,aggressive
تفووووو وعلي أمك,normal
وشنو وبات بهلوانية,normal
ثمه شر عداوه للإسلام عباد فيقو رواحكم ربي يعذب يحللولكم الجنه ذراع الرسمي يجيبو ربي الفلوس عبات كروشهم ناس الفقر ماكلهم زعام المسوات يعنبو المسوات الحريه فقر سرقه فيقو عباد يلهيو يسكتو الرسمي المخبي,normal
يكفرو بكلام فاحش قاعدين ديار يديرو فيديوات يروح يدير تكفر تسمي روحك راجل قحاب راجل,aggressive
تونس تعمل مزية اسم تونس اسمك,normal
باقي الرجل حكايتها شتحب شكونه للا مريم اسمع فلت يقولوا,normal
علاقة للتحرش باللباس الدول لتي تبيح الحرية الجنسية يراد تسريفه طرف الاعلام العاهرة الحقيقة فوجود التحرش الحديث الدول تقبل بممارسة الجنس وفق الشرعية الحديث التحرش ه ظاهرة صحية تؤكذ سلامة الامراض الزنا الخنا عكس الدول تدعم الانفتاح التحرر مجال للحديث موضوع التحرش الزنا متاح الجنسية متاحة فلماذا يطرح التحرش قالتحرش يطرح مواجهة مجتمعية للزنا العلاقات المحرمة يؤدي بذوي النفوس الضعيفة محاولة بالتالي ظاهرة تدل تقبل التحلل عكس النظم المتبنية للتحرر الجنسي ضعاف النفوس يجدون غايتهم بالتالي مجال للحديث غن التحرش ارجو وصلتكم عذرا الاطالة بخصوص الموضوع اعلاه تافه هدف العدو اشاعة البغاء الخلقي الدول تدين بالاسلام سواء الجزائر تونس باكستان,normal
فاسقة تكذبي بأموال أبوظبي,aggressive
نصدق ولاد معرسة ضاهرلي,normal
تجم تطبق روحك منعك,normal
أولا نحكي مهاجرين عرب هدو مغاربة كلمة ليبيا وايضا نهدرو مالي ونيجر خويا منقبلوش يجي مغربي لعدنا حراق يخدم ويتعرض لأي إهانة خوتنا فيديو كونغو وإفريقيا الوسطي تقدر دولة ترجعهم لدولهم بساطة,normal
شعب ملعون نعلة,aggressive
لاخي التونسي كتخرطها تعملهاش المجاري يتكون يكبر ويولي مريم دباغ ولد عواطف اخخخخرطها ونيك احرق زك امها,aggressive
تابعت الفيديو لقيت الافارقه شفت عرب مغاربه,normal
مريم ليبيا وتقول ليبيا مفيهاش رجال ماتقعدش دقيقة البلاد قرطوش ياخد مجراه,normal
معمر رحمه نعتكم بالشعب الغبي تونس كقدوة,aggressive
عقلك موسخ مستواك دنييء مغريبش تخصري الهدرة والديك منحله,aggressive
جزيءر دير جام,normal
يخلص يخلس اصولهم اسولهم اختاه هداكي,normal
متربي لطفي وراجل,normal
والله لكنهم العالمين وسيندمون ينفع,aggressive
هههههه شعب بهيم الافارقة تجيب الغرب بحجة هجرة بلدان المغرب العربي ديمغرافي وتقسيمهم الشعوب واان بتونس ومائتين افريقي جلهم بدون وثائق والغرب ضغطو تونس لقوانين ودستور واجبارهم للعمل والبقية تأتي التوطين والجنسية ومساكن ابهم تونس تاو معنى الهجرة,aggressive
نعجة,aggressive
يرد خيرا يفقه الدين تحاربون ورسوله خير بمحاربتكم لأمر سبحانه وتعالى العلي العظيم,aggressive
نكاح صرم البهيمة حلال الفتح الإسلامي القذر تفرج,aggressive
يفضح قبحهم يصبح فجاة عدو الاسلام مشكلة اقرائي الصحف العرب فعلو التونسيين بلادهم احدى الصحف السلطات الأمنية سلطنة إلقاء عمانية قتلت التونسية وريدة والمعروفة أميرة سعد,normal
لطفي رخيص قليل تربية كبيرة,aggressive
كلاتهم العزوزة معلم حرام,normal
وكلام فارغ كلب,aggressive
شعب تونس نزال,normal
الل ه الن اس ون,normal
ربي احارب دينوا حاشت الدنيا الزايفة هالمهود عبادك وتعجل بالنتقامك عالكفرة اللهم يارب العلامين شوف الشعب اقاسي يمقيمك ياعمر بعدك ياربي الزين اشتمتوه لعبتولوا اللعبة اخرجتوه اعملش هالكارثة,aggressive
لطفي كرهت,normal
راجل,normal
والعنصوري الحشرة موت بغيظك ياجاهل,aggressive
زب طيزك,aggressive
يمكنك قول,normal
حمار ماإندك,aggressive
شمس الدين باشا متربي ومتادب الناس مايجرحشي عبد عكس سي لطفي العبدلى راي جزايرية حرة,normal
عادة شهرية السوة أمك القحبة ملقوط الفرانسيس ولد المتعة وحرر يماك الدكتاتور الشايب المشلول ولد البلدان العربية عملت ثورات الدزيرية خفتوا نعاج المخنثين شعب الفسق,aggressive
تكذب متنجمش تلقاهم الحرام أجنبي مهوش مسلم بطبيعة حياتها الشخصية يعرفها قداه نقولو مكانتش معروفة تنجم أذوكم عملت مايتعملش سي,normal
صديقتي اقرئي تعليقي سمحتي صدقيني صدقيني القضية أوسع تتخيلين أدري مواكبون لعصركم يتم توجيهكم تفهمون أنكم سقطتم شراك صديقتي تلاحظين الثقافة الأخلاق المصطلحات يأكلونها جاعوا يستعملونها وقت الحاجة تريدين إقناعي مايا القصوري تعرف معنى الاحترام أخلاق الناس احترام القصوري قالت جهارا آنسة تلبس نوعا كمذيعة التلفاز بأنها تتاجر بشكلها بحجابها يقوله محترم محترم مسلم شارلي إيبدو النبي الصلاة السلام غيره المحترم أمورا هاته المحترم يجعل اضحوكة الناس محل جدال الناس محل جذب يسوى يسوى محترمة الكثير الناس مشكلة معها نأتي للثقافة صديقتي العزيزة أمال الثقافة دخل الثقافة طريقة عيش طريقة تفكير طريقة تعامل أكثر نقول مايا العلاني الثقافة الجهل قبالته ملاحظة مايا القصوري تتكلم أمور فلسفية نفسها تناقش شخص بنفس طريقتها تعتمد ضوابط معايير كلامها داس فكرها يكن يقصد تجرعه كأس الاستهزاء تظنين مشكلة الشاب مشكلتها المرأة صوتها عورة فكرهته مباشرة عذرا بسيطا فقررت تؤدبه الشرذمة أختي الدين علمانيون أقحاح تعرفين معنى سأوضح تفهمين الوضع الواقع تستطيعين الاستمرار كلامي صحيح عصرنا نفسها علمانية غطرسة الكنيسة العلمانية فعل غطرسة الكنيسة نفسها متغطرسة المتدينين ردة فعل ردة بقوة الفعل العلمانية صديقتي أحبها الناس الكبير غطرسة الكنيسة تعطي حريات كبيرة قلنا متغطرسة تراهم مستبدين فجعلت الدين البيت دين الحياة العامة عصرنا العلمانية بتلك يعيش وفقها يعيش حروب قرروا تقليم العلمانية علمانية تستطيع تترك الناس يتكلمون الدين ينشطون يسمونها التعايش وفق حدود للمتدين يتكلم فرض بشرع أمرنا يفعل يعتبر أكبر قاموا الديمقراطية تقوم الاغلبية الأغلبية يسود طبعا هاته المعايير الناس وفقها بتحريم أمور كثيرة تتماشى أفكار حاكميه خرج شعب طالب الشريعة الإسلامية بالديمقراطية أكيد العالم للابتعاد هاته الورطة قوانين لحقوق الإنسان عقولهم وجعلوا الديمقراطية وفقا لأفكارهم وضعوا قوانين عقولهم كمنعهم الناس لاختيار مثلا جعلوا الشعوب تستعمل وفق الحقوق الحريات فجعلوا الشعوب تبدو ديمقراطية متعايشة الحقيقة الشعوب تختار يريده المستبدين الشلة علمانيون أقحاح نتزع صدورهم العلمانية الأولى قلنا ردة فعل وفقا العصر يعتبرون المتطرفين يتعايشون ممن النوع التطرف يشكل خطرا العصر الدين الإسلام أرجو تبحثي تفهمي الكلاب تكوني مستهلكة باقي الشعوب شراكهم آسف الإطالة,normal
الطبيعي الحكمة نصيب الانثى الآن تغير مسؤوليات مصاريف تضاهي الرجل الأحيان العدل التساوي الميراث تخلق مشاكل الإخوة,normal
عطاهم الواحد مستحق خير,normal
يهبطو عادش تسب زادا ننجم نسب ماماك تحترمها,normal
لاحظت كامل منحازين الفاملات,normal
يهطيكم عضمه جهال منحبش ليهود وجدو,aggressive
توة تشوف منشط خير عرفت كفاش بهامتك بهلوان,normal
فساااااد,aggressive
خرااااا المسخ خيييت الفازه داخل عود حطب تقول الناس فلالس حتىىىىىىى بالعكس قريب يبوسلو يديه يسيبو لاخر دز دز دز هااااي معلم هاااااي فييييق شكووون,aggressive
اساس الدين الاسلامي واذا ماعجبهم احكام فيتحول للمسيحيه ويريحنا مرتد,aggressive
لطفي والله العضيم حقار وشمس الدين باشه ضهرقلبه طيب,normal
لقيت الإسلام سترى تريده,normal
تشعة وشبعين هههههههههههه,normal
تحكي كريم,aggressive
تونس اسلامية بو جهل تونس دينها الاسلام الافطار المتخلف مريض نفسي وارهابي بالفطرة,aggressive
تكفرين الشعب وتقلوين عنهم يهود تكفيرية الخوارج صورة الفاسدة السافرة تضعينها قناتك,normal
الإرهابي دين,normal
حكيتها فخ خايب,normal
بجميع المقاييس,normal
اذبحوها,aggressive
هاربه فيق كثرتلها,normal
لاعلاقة بالتمثيل متعرفش تمثل خلاص صدقتيوها تكدب درك يظهر مسلسل جديد تلعب دور معرسة صغيرات,normal
صلى وسلم سيدنا محمد نحنا مسلمين اليهود عهد نحنا الجزائر مستحيل نقبلو,aggressive
نيك أمك ولد القحبة راضي أمك وأختك وبنتك نصف إنسان مداس,aggressive
لطفي طلعتي مشك متربي,normal
سمعة الكعبة السعودية دونالد طرامب سمعة المحتلة وفلسطين اليهود الاسرائييليين اخواتنا ههههخخ,aggressive
برا لجماعة الجنوب الصحاح لمدينة حاقرين دينهم,normal
ضذ,normal
وخيان مفهمتش دورها المصيبة فاها التلفزة,normal
الصراحة والوقاحة وانا راي وقحة,aggressive
جزايريه رساله لنساء تونس روحو النساء فالقران ةلكريم كلش باين وصريح راجل لمراة مكالاه تقولو حريه شخصيه الامر باين مفيه شك متتحداوش ربي,normal
جزائري تتكلم العرب البلاطوات فمك كلامك,normal
شفت الفيديوا ريتهم الطبيبة طبيية ماشية تقرأ بولادهاتتكلم قحاب ولد القحبةما الميبون التونسي هزاز العصبة اساس الجنسيات لخرى تحل فمك بنات يعطم نم جبري توليوا,aggressive
مايا مريضة بشير,normal
والله,normal
دين الارهاب,aggressive
والله مذيعة ضامرة ههههههه تحياتي الجزائر,normal
رجعتو امينه ورجعتوهالنا الطرب ركحي نعرفش اقبلو جيل ولد عواطف,normal
ههههه ربيع جلال ينحوا هههه,normal
حاسيت مريم رافت هههههههههه,normal
عيب ديرو عيب تبهديل,aggressive
مايا بالها طلعت اكبر جاهلة,aggressive
لعنة زوز يسب ربي ولوخر يطيح فالهدرة والأطفال خماجات واذيكا تعايروا اشرف,aggressive
ههههههههههههه بصح لطفي واعر شمس قالو هههه,normal
كلامها صحيح الناس ناخو كيفى نغزرلها مناش عايشة,normal
طز كادوريم الماسوني الخامج المسخ التصاور فوتوشوب ذكي ساقطة ساقطاتو اختاروها للمرحومة الماطري الملمح العام عملولها عملية تجميل يوصل التطا,aggressive
لادن رحمه حفظه الارهاب السلفية والسلفيون بريؤون براءة الذئب دم يوسف,normal
مسلمة جزائرية بلد يأخد بالنصوص الشرعية علماني والجزاير تأخذ بالشريعة احكامها الجزائر دولة,normal
يتلفتلك تحترمو واتقدرو ثقافة الراجل يصرف المرا تعيشو بخير,normal
تحيا لطفي,normal
ياكلون رمضان سبب رخيس وعطاي وجيعان الحريات لتعلمتوها والدعارة,aggressive
صحيح امو الطبس,normal
نحب لطفي منهار تفرجت يدير برنامج التربية الجنسية معزة مي القحاب تعيي ومتشرفش التمثيل,aggressive
سطك لزوك امو شمس لميبون,aggressive
إسرائيل ومشكلة الأديان ضعف عقلي يومي وجهل جسيم فلسطين,normal
طحانة كلاب,aggressive
والله شمس الدين مرة يبهرنا الراقيه هته زدنا اكتشفنا مدى حبه للغير احسن كثير الوجوه,normal
صرم قحبة احلا عالم منيك,aggressive
حق معا كريم نحب كريم نحبوش,normal
عسل لمريومة تستاااااااهل والدرجة عجبتني ووتاتها خير المكياج تعمل,normal
ربي يهديك ماعندي نقولهولك,normal
جاو العباد ماش بهايم مايتفرجوش سما اذكى ماش حبا مي الباز,normal
لطفي قعد زبي,aggressive
بهييم اختي رأوه نعرفوه,normal
المفروض نقاش المفروض يتحدوا الباجي تصوموا بورقيبة,normal
تبولي السلعة المعروضة تخزرليها مايتشرفش,normal
مهزله والله لكنهم سيخاسبون رب العالمين ينفع,aggressive
جيت راجل مايسموكش ولد عواطف ينادوه بوه فرخ خامج مسخ,aggressive
هههههه وتجيب اختك تستمتع بلعق الزب التونسي المحرحر,aggressive
بلاد ولى هالعبدلي كومييدي وشمس باشا مزاودي,normal
اقتلوهم انهم مرتزقة,aggressive
تفووووووه زبور الكرة تونس جايبين كارثة الميبون الجريء جامعة,aggressive
,normal
ميدو نسيت روحك شمس الدين طبيعتو ومتربي ولد عايلة بلادو وولاد بلادو,normal
أنكر حرفا القرآن كفر,aggressive
بدع الرسول,normal
أنزل محمد وسلم يدخل الجنة كلام,aggressive
كوكة كوكة اخي نشريو بح بضاعتكم رخيصة مثلما ماشاء الكلينيكات الدزيرية حاضرين بقوة بكم تحترمو تونس مبروك,normal
نونا عبدالله منا عرب بشكونو عرب اشرف الخلق محمد صلي وسلم اصحابه الاشراف,normal
كبيركم علمك الكفر بورقيبة الهاربين يحاربوا الإسلام بشتى الوسائل سبب تخلف تونس,aggressive
قلبي جماعتها,normal
شلايك,aggressive
الفيديو مزيان العياري خشين وجه الترمة ادهماني مفلوق هوا مفسد الفيديو,aggressive
كومبارس أفلام فرنسية يتعري وفرحان,normal
اعوذ بالله الشيطان الرجيم يسترنا ويعافينا يحرقهم ذالهم ومفقرهم ومجوعهم المسيحين يحترمون المسلمين ولايفطرون امامهم ياكلاب يايهود تجاهرون بالمعصية وتأكلون رمضان الكريم ابتلانا عاصي ومذنب ومرتد,aggressive
ولاية,normal
,normal
كرثة,normal
هدي متبقاش تونس يطردوها تونسا رهي كتير موساد,normal
اسمها صفقة عرس حب,normal
قول افريقيا للأفارقة بدل ههههههههه,normal
زنا اغتصاب المراهقات الاسيرات الحروب النساء سيقفون قوانينكم الهمجية دواعش ابناء الدعارة المكدسة,normal
ياربي عرة النساء جسوسة لحمك المال نجمش أكثر أفففففففففففففففففففففففف,aggressive
نفسية خطيرة تفرح تبان الوسخ تتعالج تاكل دواء مسكينة مريضة بالها تعمل محزن مرا تتباهى بالقحب,aggressive
صحيت راجل يبدوا علماني الهمامي فرحان دولتنا بالدين تبدأ اسمع كويس دول التوبة فيش دستور الإسلام,normal
بصح حكاية لاعبين بجسدها الرائع,normal
شمس لغيره,normal
قحبة وجيا قحبها وتفهم القحب مارك وذني,aggressive
بالله الشاذ بتسموه شمس معرفتش راجل السيد اسمو لطفي,aggressive
صديقي قسنطينة أعرف تونس جيدا,normal
اناس ملقة لتربحكم طحانة,aggressive
الفوس تتصرف برامج تااااااافهة تمشي للزواولة ولي تضرو البرد والمطر والثلج,normal
طاح عيني العبدلي,normal
السبسي فاتتظروا عذاب يبقي أخضرا يابسا الناس رأوا يعمهم بعقابه أنهلك الصالحون الصلاة والسلام,aggressive
احنااا نحقروكم مانستعرفوش تكرهونا تغيرو منا تتفرجو مرخس امكم,aggressive
بشير كور,aggressive
هههه ثلث السكان سود الشمال الغربى اقسم بالله عمر ونمشى لتونس نبقى مبهورة نشوف لانى ماكنتش نشوفهم الغربى خليقة,aggressive
فاسقة تكذبي الناس بأموال أبوظبي,aggressive
تونس لازمها قمبله الثوره تنفعها راقد,aggressive
جاهلين مثيل لعنة بدل إلامن رحم التوانسة ليكم حرب ينقصو المخنثين,aggressive
يعطك عصبة صرمك الناتن عاون الزواولة خير تتزبر ضاهر تحب بولد عواطف هوكا قالك امسح,aggressive
عايش داعش طبق تحب عايش دولة,normal
زايدة,normal
البومة وصلت معاش يفيد يوفي عمرها متتعالجش بفففف,aggressive
لعنة كره احكام القطعية راي للبشر مثلها ايات تحرم زواج المرأة المسلمة بغير مسلم زد الاعيب الدساترة التجمعيين لإبعاد الشعب التونسي البطالة الرهيبة الفقر العدل المركزية المساواة الانتفاع بالثروات الوطنية السرقات المحسوبية الجهويات الرشاوي غياب البنية انتشار الخمور الربا الزنا السرقات المخدرات تغييب الدين الاسلامي الحنيف مناهج التعليم الحياة بصفة ممنهجة زمن اللهم سلم سلم,aggressive
سيااااااااسي كبير ولد اموا,normal
ملهط تبدل كلام اعملي المساوات وراجلك معرسة,aggressive
الدين افضل رجل تونسي,normal
شعب ديوث رحم,aggressive
المساواة الميراث لخطرش اﻷخ يظلم أخته الغير متزوجة بيت أهلها تعتني بوالديها لكبار متزوج تضعط زوجته تقول توفيا بيت نبيع البيت ترمي أختك بيوت الرحمة هكذا يرمي أخته ديار يبيع البيت يكريه هكذا أخته تصبح ديار,normal
حدود تعتدوها يتعدى حدود ظام وهاكم توانسة انفسكم باختراقكم حدود نسال يعاقبنا بفعلتكم,normal
ميزلت مشبعتش ملبوني ديرعلى كريم,normal
بالله وصلولي صوتي,normal
تكفرين الشعب التونسي وتقلوين عنهم يهود تكفيرية صورة السافرة تضعينها قناتك,normal
تافهة ساذجة,aggressive
سكر ظك امك ليبي زامل يابن القحبة مسخ,aggressive
قرايت لحوم متڨدهااش عمرك,normal
مريم قحبة والله جات حية لوكان نكناها واعطينالها طريحة تعرف قدرها زبي,aggressive
حسبي ونعم المديره مشتركه بالجريمه قولها للحقيقه كاذبه لعنها,normal
لتهي بروحك,normal
حق تونس بلد مسلم ولازالت أيادي فرنسي,normal
والوهابية أسباب المصائب الدول الإسلامية,aggressive
التعويض الجانبين تضرر الرجل يدفع واذا تضررت المرأة يدفع تعويض,normal
تفو عنصري المتناكه أشرف خلفوك,aggressive
شاب ثانيا احترم انتقد الشريعة الاسلام تتقبل النقد تنتقد افكاري حقك فالمسلم يقبل انتقاد رموزه مسلم واثق ايمانه دينه عفوا الشريعة الاسلامية اقدم للبشرية بحوث علمية تعليم عالي حرية حقوق اقليات صناعات حديثة الدولة العلمانية النواحي بقت كامل داعش,normal
داعشي,aggressive
سخان وجوع ادني ديوت,aggressive
حاجة زوز صغار فيبالو عرف السلام,normal
مريم الدباغ,normal
مبروك اختك العاهره صهيوني,aggressive
حيوان خامج كلب كافر مرتد مجرم مسلم حقيقي ابن زانية للقيط تفو بزكليف المنكوح منضر همجي مسخ,aggressive
هههههه صح تونس شراميط صغير كبير لعن إخوان الشياطين,aggressive
نهار متحسرش وتقول ياليتني تراب ربي ينيرك ويهديك,normal
مغربي الإسلام أبهى,aggressive
كلام أشباه الرجال,aggressive
هادو يهود تفو شعب تحيا بلادنا وشعبنا مروحش ومنحطش رجلي يلاطيف جزاير حرين شوالا روح نعايرهم هادو,aggressive
وراسك نفهمها خير شتلعبهالنا اينشطاين,normal
شواربها منفخين باين بوتوكس,normal
بالرسمي قحبة ورقعة وجايا الهيييييييه خشش صغرتها,aggressive
نعلة,aggressive
سفر ساعة تخمم جوازات السفر ماعادتش تفرز الاقل تمثلي اعرفي تمثلي,normal
تحبو طيحو فلسفة مزمزال مايا تحبي فاشلة شاب بشير اختك جزائر تشجع مستمع لفارغة,normal
سببو لعب مشاعر دعاة لهوما ناس بالدين لانو حالة تقريبا المرأة ترث نصف الرجل حالات الباقي يرثو ترث الحالات يعي فهموا فكروا أضيق بكثير حكمة ربي جداااا واعي حق بالك التعويل عقل جاهل فارغ,normal
الاخير شعب,normal
تخيل دولة يتتبعونك يرمونك السجن تمارس,aggressive
مانحبوش المخنثين,aggressive
شمس الدين باشا متربي وفحل,normal
كاريم ماعندوا حجج يثبت ويبرهن تتكلم دين يلزملك كتاب اوسنة نبيه صلى وسلم ولبنت تكلمت حمقاء وقليلة حياء وتافها ونا بعرفوا طبقا الموثقفا نائم فأعطت المجال ناس لايفقهونا عرب,aggressive
برافو بشير حق المرة فاتت هوما فتو المرأة يداويها راجل عطونا فتوة جديدة تنو صوت المرأة ربي يهديهم,aggressive
شمس دين تونسية وتستقبلوها تلفزون هههه الخنثى,aggressive
غرايب والأجايب العرب,normal
تسبو خاوتي راهي راهي تهدر ربي,normal
تخيل دولة يهود يتتبعونك السجن تمارس تقوسهم,aggressive
طيحت ولد القحبة يالجرو ينعل زك القحبة,aggressive
